potěr,fry [fraɪ]
zpoždění,lag [læɡ]
půjčovatel,lender [ˈlen.dɚ]
lokalita,locality [loʊˈkæl.ə.t̬i]
lákat,lure [lʊr]
škodlivé,malicious [məˈlɪʃ.əs]
matrace,mattress [ˈmæt.rəs]
mlha,mist [mɪst]
krtek,mole [moʊl]
molekula,molecule [ˈmɑː.lɪ.kjuːl]
monarchie,monarchy [ˈmɑː.nɚ.ki]
svalnatý,muscular [ˈmʌs.kjə.lɚ]
neutralita,neutrality [nuːˈtræl.ə.t̬i]
hlučný,noisy [ˈnɔɪ.zi]
orgasmus,orgasm [ˈɔːr.ɡæz.əm]
balíček,parcel [ˈpɑːr.səl]
rozdělit,partition [pɑːrˈtɪʃ.ən]
zvláštní,peculiar [pɪˈkjuːl.jɚ]
proprietární,proprietary [prəˈpraɪə.ter.i]
prostata,prostate [ˈprɑː.steɪt]
protagonista,protagonist [prəˈtæɡ.ən.ɪst]
Rant,rant [rænt]
vyrážka,rash [ræʃ]
zralý,ripe [raɪp]
Riverside,riverside [ˈrɪv.ɚ.saɪd]
vak,sac [sæk]
rozumný,sane [seɪn]
zachránce,savior [ˈseɪ.vjɚ]
scénický,scenic [ˈsiː.nɪk]
SIP,sip [sɪp]
šnek,snail [sneɪl]
statisticky,statistically [stəˈtɪs.tɪ.kəl.i]
stimulovat,stimulate [ˈstɪm.jə.leɪt]
podivně,strangely [ˈstreɪndʒ.li]
citlivý,susceptible [səˈsep.tə.bəl]
tutor,tutor [ˈtuː.t̬ɚ]
nebezpečný,unsafe [ʌnˈseɪf]
Verge,verge [vɝːdʒ]
vibrující,vibrant [ˈvaɪ.brənt]
droždí,yeast [jiːst]
vstřebávání,absorption [əbˈzɔːrp.ʃən]
akné,acne [ˈæk.ni]
aspirace,aspiration [ˌæs.pəˈreɪ.ʃən]
vrah,assassin [əˈsæs.ən]
vůle,backlash [ˈbæk.læʃ]
pivovar,brewery [ˈbrʊr.i]
žárovka,bulb [bʌlb]
lepenka,cardboard [ˈkɑːrd.bɔːrd]
nedbale,casually [ˈkæʒ.uː.ə.li]
žvýkat,chew [tʃuː]
vedlejší,collateral [kəˈlæt̬.ɚ.əl]
přetížení,congestion [kənˈdʒes.tʃən]
věřitel,creditor [ˈkred.ɪ.t̬ɚ]
Crossover,crossover [ˈkrɑːs.oʊ.vɚ]
Crunch,crunch [krʌntʃ]
den,daytime [ˈdeɪ.taɪm]
zánik,demise [dɪˈmaɪz]
závislost,dependence [dɪˈpen.dəns]
diktátor,dictator [ˈdɪk.teɪ.t̬ɚ]
deseticent,dime [daɪm]
katastrofální,dire [daɪr]
nesouhlas,disagreement [ˌdɪs.əˈɡriː.mənt]
žák,disciple [dɪˈsaɪ.pəl]
ignorovat,disregard [ˌdɪs.rɪˈɡɑːrd]
distributor,distributor [dɪˈstrɪb.jə.t̬ɚ]
Dominion,dominion [dəˈmɪn.jən]
z kopce,downhill [ˌdaʊnˈhɪl]
děsivý,dreadful [ˈdred.fəl]
opilý,drunken [ˈdrʌŋ.kən]
seriózní,earnest [ˈɝː.nɪst]
vymazat,erase [ɪˈreɪs]
evakuuji,evacuate [ɪˈvæk.ju.eɪt]
geneticky,genetically [dʒəˈnet̬.ɪ.kəl.i]
zajíc,hare [her]
tady,herein [ˌhɪrˈrɪn]
čestný,honorary [ˈɑː.nə.rer.i]
nezralý,immature [ˌɪm.əˈtʃʊr]
imperativ,imperative [ɪmˈper.ə.t̬ɪv]
neefektivní,ineffective [ˌɪn.ɪˈfek.tɪv]
plést,knit [nɪt]
mužný,manly [ˈmæn.li]
mateřství,maternity [məˈtɝː.nə.t̬i]
pochybení,misconduct [ˌmɪsˈkɑːn.dʌkt]
morálka,morale [məˈræl]
ztlumený,mute [mjuːt]
zbytečné,needless [ˈniːd.ləs]
novinka,novelty [ˈnɑː.vəl.t̬i]
optimismus,optimism [ˈɑːp.tə.mɪ.zəm]
optimalizace,optimization [ˌɑːp.tə.məˈzeɪ.ʃən]
kysličník,oxide [ˈɑːk.saɪd]
rolník,peasant [ˈpez.ənt]
obvodový,peripheral [pəˈrɪf.ɚ.əl]
pinta,pint [paɪnt]
prosí,plead [pliːd]
hovno,poop [puːp]
pornografie,pornography [pɔːrˈnɑː.ɡrə.fi]
prevalence,prevalence [ˈprev.əl.əns]
prozatímní,provisional [prəˈvɪʒ.ən.əl]
splatit,repay [rɪˈpeɪ]
Rouge,rouge [ruːʒ]
saturovat,saturate [ˈsætʃ.ər.eɪt]
strčit,shove [ʃʌv]
senzační,smashing [ˈsmæʃ.ɪŋ]
namočit,soak [soʊk]
Softball,softball [ˈsɑːft.bɑːl]
jihovýchodní,southeastern [ˌsaʊθˈiː.stɚn]
divák,spectator [spekˈteɪ.t̬ɚ]
klopýtnutí,stumble [ˈstʌm.bəl]
hloupost,stupidity [stuːˈpɪd.ə.t̬i]
potlačit,suppress [səˈpres]
hmatatelný,tangible [ˈtæn.dʒə.bəl]
náklon,tilt [tɪlt]
triviální,trivial [ˈtrɪv.i.əl]
Turek,turk [tɝːk]
neoficiální,unofficial [ˌʌn.əˈfɪʃ.əl]
závoj,veil [veɪl]
univerzální,versatile [ˈvɝː.sə.t̬əl]
Varšava,warsaw [ˈwɔːr.sɑː]
antropologie,anthropology [ˌæn.θrəˈpɑː.lə.dʒi]
tepna,artery [ˈɑːr.t̬ɚ.i]
ostružina,blackberry [ˈblæk.ber.i]
chlast,booze [buːz]
bzučení,buzzing [bʌz]
ráže,caliber [ˈkæl.ə.bɚ]
akord,chord [kɔːrd]
koncese,concession [kənˈseʃ.ən]
desátník,corporal [ˈkɔːr.pɚ.əl]
nádvoří,courtyard [ˈkɔːrt.jɑːrd]
hřeben,crest [krest]
Dang,dang [dæŋ]
klamání,deception [dɪˈsep.ʃən]
derivát,derivative [dɪˈrɪv.ə.t̬ɪv]
nepohodlí,discomfort [dɪˈskʌm.fɚt]
drasticky,drastically [ˈdræs.tɪ.kəl.i]
příjezdová cesta,driveway [ˈdraɪv.weɪ]
souboj,duel [ˈduː.əl]
elf,elf [elf]
rovnoměrně,evenly [ˈiː.vən.li]
osvobození,exemption [ɪɡˈzemp.ʃən]
módní,fashionable [ˈfæʃ.ən.ə.bəl]
vynést,fetch [fetʃ]
rybář,fisherman [ˈfɪʃ.ɚ.mən]
impozantní,formidable [fɔːrˈmɪd.ə.bəl]
poskytnout,furnish [ˈfɝː.nɪʃ]
Fuzzy,fuzzy [ˈfʌz.i]
granát,grenade [ɡrəˈneɪd]
osada,hamlet [ˈhæm.lət]
kormidlo,helm [helm]
obrovsky,hugely [ˈhjuːdʒ.li]
pokrytectví,hypocrisy [hɪˈpɑː.krə.si]
nepřesné,inaccurate [ɪnˈæk.jɚ.ət]
Počátek,inception [ɪnˈsep.ʃən]
neschopný,incompetent [ɪnˈkɑːm.pə.t̬ənt]
neurčitě,indefinitely [ɪnˈdef.ən.ət.li]
zasahovat,intervene [ˌɪn.t̬ɚˈviːn]
příbuzní,kin [kɪn]
humr,lobster [ˈlɑːb.stɚ]
osamělost,loneliness [ˈloʊn.li.nəs]
malárie,malaria [məˈler.i.ə]
manifest,manifesto [ˌmæn.əˈfes.toʊ]
bludiště,maze [meɪz]
klášter,monastery [ˈmɑː.nə.ster.i]
mutace,mutation [mjuːˈteɪ.ʃən]
těsně,narrowly [ˈner.oʊ.li]
nedbalost,negligence [ˈneɡ.lə.dʒəns]
Nexus,nexus [ˈnek.səs]
Numerické,numerical [nuːˈmer.ɪ.kəl]
zastaralý,obsolete [ˌɑːb.səlˈiːt]
panda,panda [ˈpæn.də]
rezonance,resonance [ˈrez.ən.əns]
nemilosrdný,ruthless [ˈruːθ.ləs]
zachránit,salvage [ˈsæl.vɪdʒ]
samuraj,samurai [ˈsæm.ə.raɪ]
satira,satire [ˈsæt.aɪr]
Slash,slash [slæʃ]
špagety,spaghetti [spəˈɡet̬.i]
rychlý,speedy [ˈspiː.di]
představení,staging [ˈsteɪ.dʒɪŋ]
stanovisko,standpoint [ˈstænd.pɔɪnt]
Stein,stein [staɪn]
houpat,sway [sweɪ]
lákavý,tempting [ˈtemp.tɪŋ]
točivý moment,torque [tɔːrk]
protiústavní,unconstitutional [ʌnˌkɑːn.stɪˈtuː.ʃən.əl]
podkopat,undermine [ˌʌn.dɚˈmaɪn]
Volné místo,vacancy [ˈveɪ.kən.si]
vetovat,veto [ˈviː.t̬oʊ]
odborné,vocational [voʊˈkeɪ.ʃən.əl]
branka,wicket [ˈwɪk.ɪt]
odolat,withstand [wɪðˈstænd]
Woodland,woodland [ˈwʊd.lənd]
zinek,zinc [zɪŋk]
navyknout,accustom [əˈkʌs·təmd]
přiměřeně,adequately [ˈæd.ə.kwət.li]
úžasně,amazingly [əˈmeɪ.zɪŋ.li]
přibližný,approximate [əˈprɑːk.sə.mət]
Bam,bam [bæm]
obušek,baton [bəˈtɑːn]
rozpad,breakup [ˈbreɪkˌʌp]
velbloud,camel [ˈkæm.əl]
kus,chunk [tʃʌŋk]
spolužák,classmate [ˈklæs.meɪt]
koka,coca [ˈkoʊ.kə]
kakao,cocoa [ˈkoʊ.koʊ]
kometa,comet [ˈkɑː.mɪt]
oddíl,compartment [kəmˈpɑːrt.mənt]
soutěžící,contestant [kənˈtes.t̬ənt]
Corpus,corpus [ˈkɔːr.pəs]
zátoka,cove [koʊv]
útulný,cozy [ˈkoʊ.zi]
kulturně,culturally [ˈkʌl.tʃɚ.əl.i]
nedostatek,deficiency [dɪˈfɪʃ.ən.si]
deportovat,deport [dɪˈpɔːrt]
diktatura,dictatorship [dɪkˈteɪ.t̬ɚ.ʃɪp]
neuctivý,disrespectful [ˌdɪs.rɪˈspekt.fəl]
strach,dread [dred]
Dummy,dummy [ˈdʌm.i]
voliči,electorate [ɪˈlek.tɚ.ət]
eroze,erosion [ɪˈroʊ.ʒən]
bok,flank [flæŋk]
ruční,handmade [ˌhændˈmeɪd]
incidence,incidence [ˈɪn.sɪ.dəns]
intimita,intimacy [ˈɪn.t̬ə.mə.si]
kotě,kitten [ˈkɪt̬.ən]
páka,lever [ˈlev.ɚ]
najetých kilometrů,mileage [ˈmaɪ.lɪdʒ]
mutant,mutant [ˈmjuː.tənt]
mytologie,mythology [mɪˈθɑː.lə.dʒi]
Neon,neon [ˈniː.ɑːn]
severovýchodní,northeastern [ˌnɔːrˈθiː.stɚn]
jeptiška,nun [nʌn]
nutriční,nutritional [nuːˈtrɪʃ.ən.əl]
pedál,pedal [ˈped.əl]
škůdce,pest [pest]
pilíř,pillar [ˈpɪl.ɚ]
věrohodné,plausible [ˈplɑː.zə.bəl]
poly,poly [ˈpɑː.li]
srážky,precipitation [priːˌsɪp.əˈteɪ.ʃən]
štěně,pup [pʌp]
karanténa,quarantine [ˈkwɔːr.ən.tiːn]
dotaz,query [ˈkwɪr.i]
omezení,restraint [rɪˈstreɪnt]
trhlina,rift [rɪft]
prodavač,salesman [ˈseɪlz.mən]
Scarlet,scarlet [ˈskɑːr.lət]
Kanalizace,sewer [ˈsuː.ɚ]
plácnutí,smack [smæk]
Sonny,sonny [ˈsʌn.i]
stonek,stalk [stɑːk]
steh,stitch [stɪtʃ]
substrát,substrate [ˈsʌb.streɪt]
sultán,sultan [ˈsʌl.tən]
svrchovanost,supremacy [suːˈprem.ə.si]
teoreticky,theoretically [ˌθiː.əˈret̬.ə.kəl.i]
žízeň,thirst [θɝːst]
přechodný,transitional [trænˈzɪʃ.ən.əl]
tuňák,tuna [ˈtuː.nə]
hledisko,viewpoint [ˈvjuː.pɔɪnt]
ocet,vinegar [ˈvɪn.ə.ɡɚ]
paruka,wig [wɪɡ]
přidružení,affiliation [əˌfɪl.iˈeɪ.ʃən]
agresivně,aggressively [əˈɡres.ɪv.li]
alergie,allergy [ˈæl.ɚ.dʒi]
amnestie,amnesty [ˈæm.nə.sti]
tvrzení,assertion [əˈsɝː.ʃən]
podkroví,attic [ˈæt̬.ɪk]
autobiografie,autobiography [ˌɑː.t̬ə.baɪˈɑː.ɡrə.fi]
vysílatel,broadcaster [ˈbrɑːdˌkæs.tɚ]
mezipaměť,cache [kæʃ]
mrkev,carrot [ˈker.ət]
koherentní,coherent [koʊˈhɪr.ənt]
pohodlný,comfy [ˈkʌm.fi]
soudruh,comrade [ˈkɑːm.ræd]
připustit,concede [kənˈsiːd]
konfliktní,conflicting [kənˈflɪk.tɪŋ]
křivý,crooked [ˈkrʊk.ɪd]
pěstování,cultivation [ˌkʌl.təˈveɪ.ʃən]
přemístění,displacement [dɪˈspleɪs.mənt]
neúcta,disrespect [ˌdɪs.rɪˈspekt]
potápěč,diver [ˈdaɪ.vɚ]
drastický,drastic [ˈdræs.tɪk]
jedlý,edible [ˈed.ə.bəl]
zvýšení,enhancement [ɪnˈhæns.mənt]
Fiat,fiat [ˈfiː.ɑːt]
švihnutí,flick [flɪk]
zděšený,funky [ˈfʌŋ.ki]
gag,gag [ɡæɡ]
gigantický,gigantic [ˌdʒaɪˈɡæn.t̬ɪk]
žábry,gill [ɡɪl]
ženich,groom [ɡruːm]
kytarista,guitarist [ɡɪˈtɑːr.ɪst]
hash,hash [hæʃ]
neaktivní,inactive [ɪnˈæk.tɪv]
kontrolovat,inspect [ɪnˈspekt]
vavřín,laurel [ˈlɔːr.əl]
levicový,leftist [ˈlef.tɪst]
legitimita,legitimacy [ləˈdʒɪt̬.ə.mə.si]
ještěrka,lizard [ˈlɪz.ɚd]
maximalizovat,maximize [ˈmæk.sə.maɪz]
morálně,morally [ˈmɔːr.əl.i]
organizátor,organizer [ˈɔːr.ɡən.aɪ.zɚ]
paradox,paradox [ˈper.ə.dɑːks]
pokojně,peacefully [ˈpiːs.fəl.i]
periodické,periodic [ˌpɪr.iˈɑː.dɪk]
Pódium,podium [ˈpoʊ.di.əm]
puk,puck [pʌk]
znovu zvážit,reconsider [ˌriː.kənˈsɪd.ɚ]
refrén,refrain [rɪˈfreɪn]
rum,rum [rʌm]
safari,safari [səˈfɑːr.i]
střelec,scorer [ˈskɔːr.ɚ]
zřídka,seldom [ˈsel.dəm]
akcionář,shareholder [ˈʃerˌhoʊl.dɚ]
Sis,sis [sɪs]
sója,soy [sɔɪ]
Squash,squash [skwɑːʃ]
stacionární,stationary [ˈsteɪ.ʃə.ner.i]
pododdělení,subdivision [ˈsʌb.dɪˌvɪʒ.ən]
dehet,tar [tɑːr]
tarif,tariff [ˈter.ɪf]
temporální,temporal [ˈtem.pɚ.əl]
sledovač,tracker [ˈtræk.ɚ]
turbína,turbine [ˈtɝː.bɪn]
nedostupné,unavailable [ˌʌn.əˈveɪ.lə.bəl]
všeobecně,universally [ˌjuː.nəˈvɝː.səl.i]
nešťastný,unlucky [ʌnˈlʌk.i]
zvracení,vomiting [ˈvɑː.mɪ.t̬ɪŋ]
správce,warden [ˈwɔːr.dən]
Warp,warp [wɔːrp]
whisky,whisky [ˈwɪs.ki]
lůno,womb [wuːm]
zrušit,abolish [əˈbɑː.lɪʃ]
vysokohorský,alpine [ˈæl.paɪn]
okolní,ambient [ˈæm.bi.ənt]
vodní,aquatic [əˈkwɑː.t̬ɪk]
argentinský,argentine [ˌɑːr.dʒənˈtɪn.i.ən]
ASSERT,assert [əˈsɝːt]
ateista,atheist [ˈeɪ.θi.ɪst]
Gril,barbecue [ˈbɑːr.bə.kjuː]
předem,beforehand [bɪˈfɔːr.hænd]
bipolární,bipolar [ˌbaɪˈpoʊ.lɚ]
měchýř,bladder [ˈblæd.ɚ]
květ,blossom [ˈblɑː.səm]
karavana,caravan [ˈker.ə.væn]
zpívat,chant [tʃænt]
komprimovat,compress [kəmˈpres]
výpočetní,computational [kɑːm.pjəˈteɪ.ʃən.əl]
pojmový,conceptual [kənˈsep.tʃu.əl]
vlhký,damp [dæmp]
debet,debit [ˈdeb.ɪt]
demolice,demolition [ˌdem.əˈlɪʃ.ən]
odlišit,differentiate [ˌdɪf.əˈren.ʃi.eɪt]
ztlumit,dim [dɪm]
osel,donkey [ˈdɑːŋ.ki]
po proudu,downstream [ˌdaʊnˈstriːm]
náušnice,earring [ˈɪr.ɪŋ]
empirický,empirical [emˈpɪr.ɪ.kəl]
zvětšit,enlarge [ɪnˈlɑːrdʒ]
vadný,faulty [ˈfɑːl.t̬i]
pec,furnace [ˈfɝː.nɪs]
pojistka,fuse [fjuːz]
povyk,fuss [fʌs]
vichřice,gale [ɡeɪl]
štědrost,generosity [ˌdʒen.əˈrɑː.sə.t̬i]
Lepek,gluten [ˈɡluː.t̬ən]
gorila,gorilla [ɡəˈrɪl.ə]
těžká váha,heavyweight [ˈhev.i.weɪt]
humánní,humane [hjuːˈmeɪn]
způsobit,inflict [ɪnˈflɪkt]
zákonný,lawful [ˈlɑː.fəl]
zákonodárce,lawmaker [ˈlɑːˌmeɪ.kɚ]
volně,loosely [ˈluːs.li]
lotus,lotus [ˈloʊ.t̬əs]
plášť,mantle [ˈmæn.təl]
maskot,mascot [ˈmæs.kɑːt]
metabolický,metabolic [met̬.əˈbɑː.lɪk]
militantní,militant [ˈmɪl.ə.tənt]
nostalgie,nostalgia [nɑːˈstæl.dʒə]
Paddy,paddy [ˈpæd.i]
brožovaná vazba,paperback [ˈpeɪ.pɚ.bæk]
dláždit,pave [peɪv]
Pavilion,pavilion [pəˈvɪl.jən]
vyzdobit,perk [pɝːk]
ukazatel,pointer [ˈpɔɪn.t̬ɚ]
předpokládat,presume [prɪˈzuːm]
násilník,rapist [ˈreɪ.pɪst]
obdélníkový,rectangular [rekˈtæŋ.ɡjə.lɚ]
regulátor,regulator [ˈreɡ.jə.leɪ.t̬ɚ]
sabotovat,sabotage [ˈsæb.ə.tɑːʒ]
sarkasmus,sarcasm [ˈsɑːr.kæz.əm]
hledač,seeker [ˈsiː.kɚ]
holení,shaving [ˈʃeɪ.vɪŋ]
vypnutí,shutdown [ˈʃʌt.daʊn]
sic,sic [sɪk]
překonat,surpass [sɚˈpæs]
Tally,tally [ˈtæl.i]
zastrčit,tuck [tʌk]
jednomyslně,unanimously [juːˈnæn.ə.məs.li]
neporažený,undefeated [ˌʌn.dɪˈfiː.t̬ɪd]
neznámé,unfamiliar [ʌn.fəˈmɪl.i.jɚ]
údolí,vale [veɪl]
obrovsky,vastly [ˈvæst.li]
hnus,vile [vaɪl]
násilně,violently [ˈvaɪə.lənt.li]
klín,wedge [wedʒ]
moudře,wisely [ˈwaɪz.li]
adaptivní,adaptive [əˈdæp.tɪv]
apartheid,apartheid [əˈpɑːr.taɪt]
ay,ay [aɪ]
žok,bale [beɪl]
bobr,beaver [ˈbiː.vɚ]
chlubit se,boast [boʊst]
volající,caller [ˈkɑː.lɚ]
dutina,cavity [ˈkæv.ə.t̬i]
Chap,chap [tʃæp]
hříbě,colt [koʊlt]
soud,courthouse [ˈkɔːrt.haʊs]
klika,crank [kræŋk]
látat,darn [dɑːrn]
hnus,disgust [dɪsˈɡʌst]
rozpuštění,dissolution [ˌdɪs.əˈluː.ʃən]
rušení,disturbance [dɪˈstɝː.bəns]
příloha,enclosure [ɪnˈkloʊ.ʒɚ]
evangelický,evangelical [ˌiː.vænˈdʒel.ɪ.kəl]
přesahující,exceeding [ɪkˈsiːd]
vynikající,exquisite [ɪkˈskwɪz.ɪt]
faktické,factual [ˈfæk.tʃu.əl]
falešně,falsely [ˈfɑːls.li]
hladomor,famine [ˈfæm.ɪn]
podvodný,fraudulent [ˈfrɑː.dʒə.lənt]
dálnice,freeway [ˈfriː.weɪ]
čerstvě,freshly [ˈfreʃ.li]
úřední list,gazette [ɡəˈzet]
Geek,geek [ɡiːk]
babička,granny [ˈɡræn.i]
handicap,handicap [ˈhæn·diˌkæp]
hold,homage [ˈhɑː.mɪdʒ]
nepřátelství,hostility [hɑːˈstɪl.ə.t̬i]
hymnus,hymn [hɪm]
hypotetický,hypothetical [ˌhaɪ.pəˈθet̬.ɪ.kəl]
informativní,informative [ɪnˈfɔːr.mə.t̬ɪv]
porušení,infringement [ɪnˈfrɪndʒ.mənt]
stáž,internship [ˈɪn.tɝːn.ʃɪp]
dráždit,irritate [ˈɪr.ə.teɪt]
jasmín,jasmine [ˈdʒæz.mɪn]
knokaut,knockout [ˈnɑːk.aʊt]
lucerna,lantern [ˈlæn.tɚn]
prádlo,linen [ˈlɪn.ɪn]
Lookout,lookout [ˈlʊk.aʊt]
měsíční svit,moonlight [ˈmuːn.laɪt]
Moose,moose [muːs]
komár,mosquito [məˈskiː.t̬oʊ]
motel,motel [moʊˈtel]
dále,onwards [ˈɑːn.wɚdz]
svržení,overthrow [ˌoʊ.vɚˈθroʊ]
paradigma,paradigm [ˈper.ə.daɪm]
dlažba,pavement [ˈpeɪv.mənt]
výplata,payday [ˈpeɪ.deɪ]
trvalé,perpetual [pɚˈpetʃ.u.əl]
fyziologie,physiology [ˌfɪz.iˈɑː.lə.dʒi]
holub,pigeon [ˈpɪdʒ.ən]
plošina,plateau [plætˈoʊ]
PŘEDMĚT,precinct [ˈpriː.sɪŋkt]
Premiership,premiership [prɪˈmɪr.ʃɪp]
proliferace,proliferation [prəˌlɪf.əˈreɪ.ʃən]
stíhat,prosecute [ˈprɑː.sə.kjuːt]
pudink,pudding [ˈpʊd.ɪŋ]
lednička,refrigerator [rɪˈfrɪdʒ.ə.reɪ.t̬ɚ]
regenerace,regeneration [rɪˌdʒen.əˈreɪ.ʃən]
vzpomínka,remembrance [rɪˈmem.brəns]
připomínající,reminiscent [ˌrem.əˈnɪs.ənt]
odpor,resentment [rɪˈzent.mənt]
pryskyřice,resin [ˈrez.ɪn]
rotační,rotary [ˈroʊ.t̬ɚ.i]
rezavý,rusty [ˈrʌs.ti]
vzácný,scarce [skers]
simulátor,simulator [ˈsɪm.jə.leɪ.t̬ɚ]
kluzký,slippery [ˈslɪp.ɚ.i]
podívaná,spectacle [ˈspek.tə.kəl]
STINT,stint [stɪnt]
sebevražedný,suicidal [ˌsuː.əˈsaɪ.dəl]
symposium,symposium [sɪmˈpoʊ.zi.əm]
přizpůsobit,tailor [ˈteɪ.lɚ]
vzrušující,thrilling [ˈθrɪl.ɪŋ]
trajektorie,trajectory [trəˈdʒek.tɚ.i]
neidentifikovaný,unidentified [ˌʌn.aɪˈden.t̬ə.faɪd]
neklid,unrest [ʌnˈrest]
neviditelný,unseen [ʌnˈsiːn]
maximální,utmost [ˈʌt.moʊst]
číšník,waiter [ˈweɪ.t̬ɚ]
unavený,weary [ˈwɪr.i]
nastavitelný,adjustable [əˈdʒʌs.tə.bəl]
dospělost,adulthood [ˈæd.ʌlt.hʊd]
muka,agony [ˈæɡ.ə.ni]
astronaut,astronaut [ˈæs.trə.nɑːt]
dosáhnout,attain [əˈteɪn]
obsluha,attendant [əˈten.dənt]
pravost,authenticity [ˌɑː.θenˈtɪs.ə.t̬i]
zákulisí,backstage [bækˈsteɪdʒ]
narušení,binge [bɪndʒ]
blok,bloc [blɑːk]
bourbon,bourbon [ˈbɝː.bən]
brutalita,brutality [bruːˈtæl.ə.t̬i]
počet,calculus [ˈkæl.kjə.ləs]
neopatrný,careless [ˈker.ləs]
kasta,caste [kæst]
sklep,cellar [ˈsel.ɚ]
intelektuální,cerebral [səˈriː.brəl]
veselý,cheerful [ˈtʃɪr.fəl]
Cinematic,cinematic [ˌsɪn.əˈmæt̬.ɪk]
vyvrcholení,climax [ˈklaɪ.mæks]
klipr,clipper [ˈklɪp.ɚ]
kokpit,cockpit [ˈkɑːk.pɪt]
dvojtečka,colon [ˈkoʊ.lən]
společenství,communion [kəˈmjuː.njən]
konzul,consul [ˈkɑːn.səl]
uchazeč,contender [kənˈten.dɚ]
karmínový,crimson [ˈkrɪm.zən]
kultivovat,cultivate [ˈkʌl.tə.veɪt]
kudrnatý,curly [ˈkɝː.li]
degradace,degradation [ˌdeɡ.rəˈdeɪ.ʃən]
smaragd,emerald [ˈem.ə.rəld]
rovnováha,equilibrium [ˌiː.kwəˈlɪb.ri.əm]
zřejmě,evidently [ˈev.ə.dənt.li]
fascinovaný,fascinated [ˈfæs.ən.eɪ.tɪd]
plod,fetus [ˈfi·t̬əs]
bezchybný,flawless [ˈflɑː.ləs]
vnučka,granddaughter [ˈɡræn.dɑː.t̬ɚ]
zdravý,hale [ˌheɪl ən ˈhɑːr.t̬i]
tímto,hereby [ˌhɪrˈbaɪ]
vtipný,humorous [ˈhjuː.mə.rəs]
vzniknout,incur [ɪnˈkɝː]
styk,intercourse [ˈɪn.t̬ɚ.kɔːrs]
zajímavě,interestingly [ˈɪn.trɪ.stɪŋ.li]
izolovat,isolate [ˈaɪ.sə.leɪt]
kobyla,mare [mer]
louka,meadow [ˈmed.oʊ]
motivovat,motivate [ˈmoʊ.t̬ə.veɪt]
kopeček,mound [maʊnd]
zablácený,muddy [ˈmʌd.i]
mystik,mystic [ˈmɪs.tɪk]
nominální,nominal [ˈnɑː.mə.nəl]
nařízení,ordinance [ˈɔːr.dən.əns]
farář,parson [ˈpɑːr.sən]
se týká,pertain [pɝːˈteɪn]
strčit,poke [poʊk]
úměrný,proportional [prəˈpɔːr.ʃən.əl]
prosperující,prosperous [ˈprɑː.spɚ.əs]
lom,quarry [ˈkwɔːr.i]
doporučení,referral [rɪˈfɝː.əl]
neklidný,restless [ˈrest.ləs]
míza,sap [sæp]
sarkastický,sarcastic [sɑːrˈkæs.tɪk]
vědecký,scholarly [ˈskɑː.lɚ.li]
segregace,segregation [ˌseɡ.rəˈɡeɪ.ʃən]
zlověstný,sinister [ˈsɪn.ə.stɚ]
úžina,strait [streɪt]
testosteron,testosterone [ˌtesˈtɑː.stɚ.oʊn]
větrání,ventilation [ˌven.t̬əlˈeɪ.ʃən]
tkadlec,weaver [ˈwiː.vɚ]
příze,yarn [jɑːrn]
dodržovat,abide [əˈbaɪd]
akumulace,accumulation [əˌkjuː.mjəˈleɪ.ʃən]
obdiv,admiration [ˌæd.məˈreɪ.ʃən]
útočník,attacker [əˈtæk.ɚ]
autoritářský,authoritarian [əˌθɔːr.əˈter.i.ən]
využít,avail [əˈveɪl]
banket,banquet [ˈbæŋ.kwət]
Barker,barker [ˈbɑːr.kɚ]
fakturaci,billing [ˈbɪl.ɪŋ]
kořist,booty [ˈbuː.t̬i]
statečnost,bravery [ˈbreɪ.vɚ.i]
Brit,brit [brɪt]
brutálně,brutally [ˈbruː.t̬əl.i]
fanoušek,buff [bʌf]
komorník,chamberlain [ˈtʃeɪm.bɚ.lɪn]
dráp,claw [klɑː]
kompatibilita,compatibility [kəmˌpæt̬.əˈbɪl.ə.t̬i]
podmíněné,conditional [kənˈdɪʃ.ən.əl]
Gratulujte,congratulate [kənˈɡrætʃ.ə.leɪt]
kůra,cortex [ˈkɔːr.teks]
odvážný,courageous [kəˈreɪ.dʒəs]
křížová výprava,crusade [kruːˈseɪd]
cynický,cynical [ˈsɪn.ɪ.kəl]
vyřadit,discard [dɪˈskɑːrd]
narušit,disrupt [dɪsˈrʌpt]
duplikát,duplicate [ˈduː.plə.keɪt]
dynamit,dynamite [ˈdaɪ.nə.maɪt]
hospodárný,economical [ˌiː.kəˈnɑː.mɪ.kəl]
elastický,elastic [iˈlæs.tɪk]
zmocnit,empower [ɪmˈpaʊ.ɚ]
expozice,exposition [ˌek.spəˈzɪʃ.ən]
fetiš,fetish [ˈfet̬.ɪʃ]
načechraný,fluffy [ˈflʌf.i]
Gadget,gadget [ˈɡædʒ.ət]
oděv,garment [ˈɡɑːr.mənt]
úsměv,grin [ɡrɪn]
halda,heap [hiːp]
hučení,hum [hʌm]
pokora,humility [hjuːˈmɪl.ə.t̬i]
obžaloba,impeachment [ɪmˈpiːtʃ.mənt]
inherentně,inherently [ɪnˈhɪr.ənt.li]
vynálezce,inventor [ɪnˈven.t̬ɚ]
leopard,leopard [ˈlep.ɚd]
knihovník,librarian [laɪˈbrer.i.ən]
